,accommodates,price
449,3,250.0
450,2,139.0
451,4,200.0
452,2,119.0
453,2,80.0
454,2,250.0
455,4,240.0
456,2,98.0
457,2,219.0
458,2,97.0
459,8,275.0
460,2,110.0
461,2,119.0
462,2,121.0
463,2,149.0
464,2,99.0
465,2,90.0
466,2,130.0
467,2,170.0
468,2,175.0
469,2,110.0
470,4,156.0
471,3,69.0
472,2,149.0
473,2,145.0
474,2,99.0
475,3,82.0
476,4,300.0
477,2,150.0
478,3,85.0
479,2,85.0
480,2,145.0
481,2,125.0
482,2,125.0
483,2,70.0
484,2,99.0
485,4,275.0
486,2,160.0
487,4,150.0
488,2,130.0
489,2,89.0
490,2,70.0
491,2,139.0
492,2,99.0
493,4,119.0
494,6,299.0
495,3,175.0
496,16,300.0
497,2,150.0
498,2,125.0
499,4,260.0
500,4,260.0
501,4,260.0
502,4,260.0
503,2,109.0
504,4,150.0
505,4,130.0
506,1,60.0
507,5,150.0
508,5,199.0
509,4,240.0
510,4,219.0
511,4,190.0
512,4,250.0
513,2,220.0
514,4,140.0
515,2,89.0
516,4,140.0
517,2,130.0
518,4,85.0
519,4,235.0
520,2,105.0
521,4,319.0
522,6,225.0
523,3,126.0
524,2,95.0
525,4,228.0
526,3,56.0
527,2,225.0
528,3,109.0
529,4,135.0
530,6,340.0
531,2,119.0
532,2,40.0
533,2,120.0
534,2,98.0
535,2,94.0
536,2,140.0
537,16,80.0
538,6,350.0
539,3,170.0
540,2,135.0
541,2,140.0
542,2,150.0
543,4,165.0
544,3,149.0
545,4,250.0
546,3,171.0
547,2,140.0
548,2,111.0
549,4,200.0
550,2,110.0
551,4,125.0
552,4,260.0
553,4,249.0
554,4,185.0
555,2,110.0
556,2,80.0
557,2,150.0
558,2,75.0
559,6,255.0
560,2,200.0
561,2,130.0
562,4,99.0
563,2,110.0
564,4,180.0
565,4,124.0
566,4,150.0
567,3,150.0
568,2,120.0
569,2,110.0
570,2,96.0
571,4,160.0
572,3,349.0
573,4,200.0
574,2,95.0
575,4,300.0
576,2,100.0
577,4,190.0
578,4,165.0
579,2,129.0
580,2,125.0
581,2,125.0
582,2,165.0
583,2,127.0
584,2,85.0
585,1,29.0
586,2,195.0
587,4,140.0
588,4,300.0
589,2,110.0
590,3,159.0
591,4,175.0
592,4,120.0
593,2,89.0
594,3,150.0
595,4,245.0
596,2,120.0
597,2,115.0
598,4,175.0
599,4,90.0
600,2,55.0
601,3,94.0
602,12,420.0
603,2,85.0
604,2,79.0
605,4,220.0
606,2,225.0
607,2,95.0
608,2,85.0
609,4,300.0
610,2,110.0
611,4,150.0
612,2,195.0
613,2,190.0
614,4,140.0
615,4,240.0
616,4,800.0
617,4,180.0
618,4,250.0
619,4,60.0
620,2,180.0
621,2,140.0
622,4,200.0
623,2,133.0
624,2,109.0
625,3,120.0
626,2,175.0
627,2,160.0
628,4,140.0
629,2,80.0
630,4,160.0
631,4,80.0
632,1,47.0
633,4,180.0
634,2,110.0
635,2,195.0
636,4,300.0
637,3,250.0
638,2,100.0
639,2,110.0
640,2,60.0
641,6,315.0
642,2,120.0
643,2,150.0
644,2,80.0
645,3,89.0
646,2,89.0
647,2,120.0
648,2,80.0
649,2,109.0
650,2,125.0
651,4,90.0
652,2,85.0
653,4,250.0
654,4,185.0
655,3,149.0
656,2,99.0
657,2,198.0
658,4,239.0
659,1,65.0
660,2,119.0
661,4,250.0
662,2,150.0
663,2,60.0
664,2,97.0
665,2,129.0
666,2,59.0
667,2,150.0
668,4,210.0
669,4,255.0
670,2,99.0
671,2,100.0
672,8,399.0
673,2,99.0
674,4,150.0
675,4,145.0
676,4,295.0
677,2,159.0
678,2,200.0
679,4,139.0
680,4,129.0
681,4,115.0
682,2,130.0
683,2,119.0
684,16,440.0
685,5,175.0
686,4,185.0
687,2,140.0
688,4,195.0
689,2,65.0
690,2,145.0
691,2,155.0
692,2,85.0
693,2,75.0
694,2,135.0
695,4,115.0
696,2,70.0
697,5,160.0
698,2,79.0
699,4,130.0
700,2,95.0
701,4,220.0
702,4,275.0
703,6,240.0
704,2,89.0
705,4,349.0
706,3,95.0
707,2,169.0
708,2,76.0
709,1,38.0
710,4,114.0
711,2,80.0
712,2,84.0
713,4,250.0
714,2,85.0
715,4,300.0
716,2,95.0
717,6,400.0
718,4,295.0
719,3,125.0
720,2,145.0
721,2,109.0
722,2,133.0
723,4,250.0
724,2,99.0
725,2,59.0
726,2,115.0
727,2,210.0
728,4,119.0
729,6,125.0
730,2,89.0
731,2,57.0
732,4,132.0
733,2,120.0
734,4,150.0
735,2,170.0
736,3,140.0
737,4,110.0
738,5,250.0
739,2,109.0
740,4,200.0
741,2,94.0
742,2,69.0
743,2,89.0
744,2,89.0
745,2,240.0
746,2,125.0
747,4,225.0
748,2,105.0
749,4,200.0
750,2,110.0
751,4,399.0
752,2,60.0
753,4,225.0
754,4,172.0
755,4,280.0
756,2,200.0
757,2,100.0
758,4,200.0
759,2,125.0
760,8,376.0
761,2,130.0
762,4,475.0
763,4,150.0
764,4,325.0
765,4,225.0
766,2,95.0
767,4,180.0
768,6,275.0
769,4,260.0
770,2,80.0
771,2,69.0
772,2,179.0
773,5,275.0
774,1,129.0
775,2,249.0
776,2,99.0
777,3,99.0
778,4,115.0
779,4,175.0
780,2,145.0
781,4,350.0
782,3,119.0
783,2,145.0
784,4,90.0
785,4,250.0
786,2,96.0
787,2,225.0
788,4,346.0
789,2,379.0
790,3,85.0
791,2,125.0
792,4,200.0
793,2,55.0
794,2,120.0
795,2,125.0
796,2,100.0
797,4,180.0
798,4,300.0
