,id,neighbourhood,gebied,gemiddelde WOZ-waarde
338,3850073,Watergraafsmeer,M Oost,459254
339,3850766,IJburg - Zeeburgereiland,M Oost,459254
340,3859300,Watergraafsmeer,M Oost,459254
341,3863863,Oostelijk Havengebied - Indische Buurt,M Oost,459254
342,3888355,Oostelijk Havengebied - Indische Buurt,M Oost,459254
343,3891740,Oud-Oost,M Oost,459254
344,3893855,Watergraafsmeer,M Oost,459254
345,3900805,Oostelijk Havengebied - Indische Buurt,M Oost,459254
346,3902098,IJburg - Zeeburgereiland,M Oost,459254
347,3910153,Watergraafsmeer,M Oost,459254
348,3917964,Oud-Oost,M Oost,459254
349,3926085,Watergraafsmeer,M Oost,459254
350,3926355,Oostelijk Havengebied - Indische Buurt,M Oost,459254
351,3943487,Oostelijk Havengebied - Indische Buurt,M Oost,459254
352,3947406,Oud-Oost,M Oost,459254
353,3957639,Watergraafsmeer,M Oost,459254
354,3961071,Oostelijk Havengebied - Indische Buurt,M Oost,459254
355,3973121,Oud-Oost,M Oost,459254
356,4012629,Watergraafsmeer,M Oost,459254
357,4043258,Oostelijk Havengebied - Indische Buurt,M Oost,459254
358,4049668,Oostelijk Havengebied - Indische Buurt,M Oost,459254
359,4054648,Oud-Oost,M Oost,459254
360,4076064,Oostelijk Havengebied - Indische Buurt,M Oost,459254
361,4076101,Oud-Oost,M Oost,459254
362,4114043,Oud-Oost,M Oost,459254
363,4147668,Oud-Oost,M Oost,459254
364,4147932,Watergraafsmeer,M Oost,459254
365,4150731,Oud-Oost,M Oost,459254
366,4152476,IJburg - Zeeburgereiland,M Oost,459254
367,4152711,Oud-Oost,M Oost,459254
368,4153760,Oostelijk Havengebied - Indische Buurt,M Oost,459254
369,4158675,Oud-Oost,M Oost,459254
370,4169844,Watergraafsmeer,M Oost,459254
371,4178337,Oud-Oost,M Oost,459254
372,4214273,Oud-Oost,M Oost,459254
373,4255200,Oud-Oost,M Oost,459254
374,4260708,Oud-Oost,M Oost,459254
375,4265569,Oostelijk Havengebied - Indische Buurt,M Oost,459254
376,4274135,Watergraafsmeer,M Oost,459254
377,4289342,Oostelijk Havengebied - Indische Buurt,M Oost,459254
378,4289929,IJburg - Zeeburgereiland,M Oost,459254
379,4295087,Oud-Oost,M Oost,459254
380,4300022,Oud-Oost,M Oost,459254
381,4301370,Oud-Oost,M Oost,459254
382,4316201,Oud-Oost,M Oost,459254
383,4320334,Oud-Oost,M Oost,459254
384,4337733,Oud-Oost,M Oost,459254
385,4410816,Oud-Oost,M Oost,459254
386,4426990,Oostelijk Havengebied - Indische Buurt,M Oost,459254
387,4435968,Watergraafsmeer,M Oost,459254
388,4436922,Oostelijk Havengebied - Indische Buurt,M Oost,459254
389,4449764,Oostelijk Havengebied - Indische Buurt,M Oost,459254
390,4461610,Oostelijk Havengebied - Indische Buurt,M Oost,459254
391,4465575,Oostelijk Havengebied - Indische Buurt,M Oost,459254
392,4466122,Oud-Oost,M Oost,459254
393,4467898,IJburg - Zeeburgereiland,M Oost,459254
394,4468318,IJburg - Zeeburgereiland,M Oost,459254
395,4480739,Oud-Oost,M Oost,459254
396,4482635,IJburg - Zeeburgereiland,M Oost,459254
397,4487817,Oud-Oost,M Oost,459254
398,4487975,Oud-Oost,M Oost,459254
399,4513665,Oostelijk Havengebied - Indische Buurt,M Oost,459254
400,4530308,Watergraafsmeer,M Oost,459254
401,4544218,Oud-Oost,M Oost,459254
402,4584373,Watergraafsmeer,M Oost,459254
403,4591186,Oud-Oost,M Oost,459254
404,4601431,Oostelijk Havengebied - Indische Buurt,M Oost,459254
405,4613860,Oud-Oost,M Oost,459254
406,4630817,Watergraafsmeer,M Oost,459254
407,4634719,Oud-Oost,M Oost,459254
408,4636051,Oud-Oost,M Oost,459254
409,4641070,Watergraafsmeer,M Oost,459254
410,4648294,Oud-Oost,M Oost,459254
411,4651470,Oostelijk Havengebied - Indische Buurt,M Oost,459254
412,4666359,IJburg - Zeeburgereiland,M Oost,459254
413,4693307,Oostelijk Havengebied - Indische Buurt,M Oost,459254
414,4693511,Oud-Oost,M Oost,459254
415,4695968,Oostelijk Havengebied - Indische Buurt,M Oost,459254
416,4697335,Oud-Oost,M Oost,459254
417,4736237,Oostelijk Havengebied - Indische Buurt,M Oost,459254
418,4748130,Oud-Oost,M Oost,459254
419,4757323,Watergraafsmeer,M Oost,459254
420,4761760,Oostelijk Havengebied - Indische Buurt,M Oost,459254
421,4770029,Watergraafsmeer,M Oost,459254
422,4771262,Oostelijk Havengebied - Indische Buurt,M Oost,459254
423,4774677,Oostelijk Havengebied - Indische Buurt,M Oost,459254
424,4789122,Oud-Oost,M Oost,459254
425,4791553,Watergraafsmeer,M Oost,459254
426,4844569,Oostelijk Havengebied - Indische Buurt,M Oost,459254
427,4844736,Watergraafsmeer,M Oost,459254
428,4847183,Oud-Oost,M Oost,459254
429,4851752,Oostelijk Havengebied - Indische Buurt,M Oost,459254
430,4865992,Oud-Oost,M Oost,459254
431,4869412,Oud-Oost,M Oost,459254
432,4878394,Oud-Oost,M Oost,459254
433,4879044,Oud-Oost,M Oost,459254
434,4880879,Oud-Oost,M Oost,459254
435,4899798,Oostelijk Havengebied - Indische Buurt,M Oost,459254
436,4911386,Oud-Oost,M Oost,459254
437,4913607,Oostelijk Havengebied - Indische Buurt,M Oost,459254
438,4928162,Oud-Oost,M Oost,459254
439,4931145,Oud-Oost,M Oost,459254
440,4939811,Oud-Oost,M Oost,459254
441,4941689,Oud-Oost,M Oost,459254
442,4942234,Watergraafsmeer,M Oost,459254
443,4963297,Oostelijk Havengebied - Indische Buurt,M Oost,459254
444,5000874,Oud-Oost,M Oost,459254
445,5003552,Oostelijk Havengebied - Indische Buurt,M Oost,459254
446,5009598,Oostelijk Havengebied - Indische Buurt,M Oost,459254
447,5010214,Oostelijk Havengebied - Indische Buurt,M Oost,459254
448,5019539,Oud-Oost,M Oost,459254
449,5020280,Oud-Oost,M Oost,459254
450,5035603,Oud-Oost,M Oost,459254
451,5045989,Oud-Oost,M Oost,459254
452,5058492,Oud-Oost,M Oost,459254
453,5069163,Oud-Oost,M Oost,459254
454,5072326,Oud-Oost,M Oost,459254
455,5081353,Oud-Oost,M Oost,459254
456,5137921,Watergraafsmeer,M Oost,459254
457,5168990,IJburg - Zeeburgereiland,M Oost,459254
458,5177030,Oostelijk Havengebied - Indische Buurt,M Oost,459254
459,5190193,Oostelijk Havengebied - Indische Buurt,M Oost,459254
460,5207981,Oud-Oost,M Oost,459254
461,5227007,Oud-Oost,M Oost,459254
462,5234612,Oostelijk Havengebied - Indische Buurt,M Oost,459254
463,5235250,Oud-Oost,M Oost,459254
464,5239011,Oud-Oost,M Oost,459254
465,5260611,Oud-Oost,M Oost,459254
466,5279277,Oud-Oost,M Oost,459254
467,5290113,Oud-Oost,M Oost,459254
468,5300166,IJburg - Zeeburgereiland,M Oost,459254
469,5332142,Oud-Oost,M Oost,459254
470,5372115,Watergraafsmeer,M Oost,459254
471,5374067,Oud-Oost,M Oost,459254
472,5383340,Oostelijk Havengebied - Indische Buurt,M Oost,459254
473,5401946,Watergraafsmeer,M Oost,459254
474,5411265,Oud-Oost,M Oost,459254
475,5416966,Oostelijk Havengebied - Indische Buurt,M Oost,459254
476,5432591,Oostelijk Havengebied - Indische Buurt,M Oost,459254
477,5439801,Oostelijk Havengebied - Indische Buurt,M Oost,459254
478,5501544,Oud-Oost,M Oost,459254
479,5504801,Oud-Oost,M Oost,459254
480,5509645,Oud-Oost,M Oost,459254
481,5514668,Oostelijk Havengebied - Indische Buurt,M Oost,459254
482,5517772,Oud-Oost,M Oost,459254
483,5529071,Oud-Oost,M Oost,459254
484,5529396,Oostelijk Havengebied - Indische Buurt,M Oost,459254
485,5530687,Oud-Oost,M Oost,459254
486,5544300,Oud-Oost,M Oost,459254
487,5555083,Watergraafsmeer,M Oost,459254
488,5577058,Oud-Oost,M Oost,459254
489,5577658,IJburg - Zeeburgereiland,M Oost,459254
490,5596462,IJburg - Zeeburgereiland,M Oost,459254
491,5622623,IJburg - Zeeburgereiland,M Oost,459254
492,5625099,Oud-Oost,M Oost,459254
